feed_name,feed_url,feed_at_uri,feed_cid,creator_did,creator_handle,like_count,feed_tag
Democrats,https://bsky.app/profile/davidsacerdote.bsky.social/feed/aaaieye3ez2ws,at://did:plc:o4s55v3tsfph6whswxccpsia/app.bsky.feed.generator/aaaieye3ez2ws,bafyreifkppxuteg6ihjpnlluudhsan5i2iefvx5cnwdh5wefsho7b7dyn4,did:plc:o4s55v3tsfph6whswxccpsia,davidsacerdote.bsky.social,916,CL
#SocialistCircle,https://bsky.app/profile/andmarwood.bsky.social/feed/aaaemd3r3s236,at://did:plc:b3463o3pz3pdiyh355p6a7a6/app.bsky.feed.generator/aaaemd3r3s236,bafyreia6ocg7hhoqkjlnid3lc73r7rw55porbnqwdifw7wcxul6ynrhmpm,did:plc:b3463o3pz3pdiyh355p6a7a6,andmarwood.bsky.social,216,PL
anti capitalism,https://bsky.app/profile/anticapitalistmusings.com/feed/aaacdkz3gzj6y,at://did:plc:lm6rveokyot6l2twq3l3zvbf/app.bsky.feed.generator/aaacdkz3gzj6y,bafyreigdc56rzf5jzkyasg6uisbdxbtfnnurcqosddfq2dseeixzzixawi,did:plc:lm6rveokyot6l2twq3l3zvbf,anticapitalistmusings.com,161,XL
Voices For Democracy,https://bsky.app/profile/mmccue.bsky.social/feed/voices-for-de,at://did:plc:6nkng5626orolzuyvuzocl4e/app.bsky.feed.generator/voices-for-de,bafyreigly6hkkcu65egflxcr7wdmlijzsuks4rz6hirdushz5mbmsi46ym,did:plc:6nkng5626orolzuyvuzocl4e,mmccue.bsky.social,132,CL
Fuck Trump,https://bsky.app/profile/clydepowell.bsky.social/feed/aaacugpb66jmm,at://did:plc:o3dej7l5qmgrtunituq2ssg3/app.bsky.feed.generator/aaacugpb66jmm,bafyreicwuhe2kvlzwzze44whyi7agsdl4kdp2l7limz3d3uojyf2q2xtdm,did:plc:o3dej7l5qmgrtunituq2ssg3,clydepowell.bsky.social,124,PL
TrumpTweets,https://bsky.app/profile/trumpwatch.skyfleet.blue/feed/aaaja3nefvyji,at://did:plc:sq6w6264xndxwnfxp6be3pwr/app.bsky.feed.generator/aaaja3nefvyji,bafyreigvec47pyoc2i2ufzc3jr6hvpl5ako6a3dhm6mitkc3cus7riukxa,did:plc:sq6w6264xndxwnfxp6be3pwr,trumpwatch.skyfleet.blue,78,PL
Trump vs law,https://bsky.app/profile/jonathancote.bsky.social/feed/aaaopbe2e7akc,at://did:plc:t4q66vvpyfpti4q3lirw4qht/app.bsky.feed.generator/aaaopbe2e7akc,bafyreiblenhpeocbzqfvbeagyl6yg7aj24xxofoxcj2u5wcgi7tqnntb4q,did:plc:t4q66vvpyfpti4q3lirw4qht,jonathancote.bsky.social,63,PL
Texas Democrats,https://bsky.app/profile/andymac89.com/feed/aaacho7c642oo,at://did:plc:lotoqqydbrmjocf7rli4dfsb/app.bsky.feed.generator/aaacho7c642oo,bafyreihne2aegao6vw6guiahjo37vl5eszpak6smlf36bfizl4zmpppoyq,did:plc:lotoqqydbrmjocf7rli4dfsb,andymac89.com,59,PL
Democracy vs. Trump/MAGA,https://bsky.app/profile/bjcaffe.bsky.social/feed/aaabyfqveij2s,at://did:plc:fzruplv6s3yrhn2mhi3lxpe4/app.bsky.feed.generator/aaabyfqveij2s,bafyreigwuwbtn2oeyx3jgf5mohyfbivpmmivrmpxidctufbajzbzv427mu,did:plc:fzruplv6s3yrhn2mhi3lxpe4,bjcaffe.bsky.social,56,PL
The Resistance-Blue Sky,https://bsky.app/profile/fightingliberal.bsky.social/feed/aaades3zvdske,at://did:plc:vaged6uocai4jrd2s5pd2ebo/app.bsky.feed.generator/aaades3zvdske,bafyreigd2zolctt5646lrghrzzqpvmccs3wd55x6o63225rjdviyo654sm,did:plc:vaged6uocai4jrd2s5pd2ebo,fightingliberal.bsky.social,54,XL
LeftTok,https://bsky.app/profile/maxashermiller.bsky.social/feed/aaacrkkqaw7dm,at://did:plc:tyeaibmvv3y4n2iqugdwiv6q/app.bsky.feed.generator/aaacrkkqaw7dm,bafyreiajq7m45smdmib2ochcwscnrsh4ly75bp25v3gtcrjznumjuyxe4u,did:plc:tyeaibmvv3y4n2iqugdwiv6q,maxashermiller.bsky.social,52,PL
🔸️LibDemSky🔸️,https://bsky.app/profile/rigg.lgbt/feed/aaagxaqdjb6sm,at://did:plc:j2yiwzoek7ylj2iejah5ortj/app.bsky.feed.generator/aaagxaqdjb6sm,bafyreiayqv34x2727tdbfka3ri4cwdrmxrpd2fzjjqbta23ronvnqirktq,did:plc:j2yiwzoek7ylj2iejah5ortj,rigg.lgbt,50,PL
Progressive Town Square🦋,https://bsky.app/profile/theblackdahlea.com/feed/aaadg3jsp6s4w,at://did:plc:l3jcypm5dkk6fvre4mcqljnr/app.bsky.feed.generator/aaadg3jsp6s4w,bafyreieaututc6icefagemcjmy7hzvqg6llwvltauaay3ipckfdkb4kmhi,did:plc:l3jcypm5dkk6fvre4mcqljnr,theblackdahlea.com,45,PL
Congress_Thinkers,https://bsky.app/profile/americalabs.org/feed/aaade5y3pbov6,at://did:plc:ra4gpdxejgppncm7ntha25p7/app.bsky.feed.generator/aaade5y3pbov6,bafyreie2hjkpfwow2vqgw4yr7ryhikbn6kvfu5nrxm643wvi5adwhonio4,did:plc:ra4gpdxejgppncm7ntha25p7,americalabs.org,39,PL
Liberal Democrats,https://bsky.app/profile/michael-fox.bsky.social/feed/aaaih6wopc2da,at://did:plc:5evg2o47kepgquxi6ku4az4m/app.bsky.feed.generator/aaaih6wopc2da,bafyreicq6gxasrchu7vjv55lluzt3amj4mtx5dwciusgxhjmnl7w3mgpxy,did:plc:5evg2o47kepgquxi6ku4az4m,michael-fox.bsky.social,38,PL
Veterans for Democracy,https://bsky.app/profile/capt-chris.bsky.social/feed/aaafoyv2pxpui,at://did:plc:6j25klr37ppmtuf45n5fhakn/app.bsky.feed.generator/aaafoyv2pxpui,bafyreiewzewvrjdmqvb4utl7m3vyosmbdoful7lzfbvcl37sztqfjkueqy,did:plc:6j25klr37ppmtuf45n5fhakn,capt-chris.bsky.social,33,PL
The Resistance,https://bsky.app/profile/danadouglas.bsky.social/feed/aaabnmrsorfum,at://did:plc:baq6kf5opxmbzsy7t3e3nlae/app.bsky.feed.generator/aaabnmrsorfum,bafyreidvncjvdhoaknlicqayontngkl5jsl27ljcgzdfzetgbeu3dbvhua,did:plc:baq6kf5opxmbzsy7t3e3nlae,danadouglas.bsky.social,31,PL
Democratic Feed,https://bsky.app/profile/thewanderingjew.bsky.social/feed/aaai6kb4o7niu,at://did:plc:4zshebjfpzk4grqukxhevhur/app.bsky.feed.generator/aaai6kb4o7niu,bafyreifxgnofs7gw3mqvkfytqbph3gaerowksajuc7h6owj3lpvobrp22y,did:plc:4zshebjfpzk4grqukxhevhur,thewanderingjew.bsky.social,29,CL
Liberals of Bucks County,https://bsky.app/profile/barksbooksbehavior.bsky.social/feed/liberalsofbucks,at://did:plc:k2i3op7xtix4dg3ausjdl6t7/app.bsky.feed.generator/liberalsofbucks,bafyreibkazdloxeexm5qykeyrd5yd3t2zfg7653r4rvrpu22qwoe5nefg4,did:plc:k2i3op7xtix4dg3ausjdl6t7,barksbooksbehavior.bsky.social,28,PL
TrumpWatch,https://bsky.app/profile/rmendes.net/feed/aaaps2xeuhj5o,at://did:plc:tk6bkjdozskzgb47umfelfpq/app.bsky.feed.generator/aaaps2xeuhj5o,bafyreibiek2wdbsbmmye7fh5etyizpn35lvobwdoha3kovkqwdxm4enqzm,did:plc:tk6bkjdozskzgb47umfelfpq,rmendes.net,28,PL
Big Dems on BlueSky NP,https://bsky.app/profile/npendleton.bsky.social/feed/aaahpu25nv6p4,at://did:plc:63wmcdkk7wyqjpzaj753feab/app.bsky.feed.generator/aaahpu25nv6p4,bafyreigda7ci6jhms2gshfhir4ipxbakfjhlojgqubvm6mmaflk6yyfy7a,did:plc:63wmcdkk7wyqjpzaj753feab,npendleton.bsky.social,27,PL
MothersforDemocracy,https://bsky.app/profile/democracymoms.bsky.social/feed/aaaebebeildlc,at://did:plc:aqlfkdilaokydpdwojawpn2m/app.bsky.feed.generator/aaaebebeildlc,bafyreif7of74u2vewu5ab7ebf4mwo57uitbock4avee6gqfdmngagmtehq,did:plc:aqlfkdilaokydpdwojawpn2m,democracymoms.bsky.social,26,PL
AntiTrump | AntiMAGA,https://bsky.app/profile/ironboltbruce.bsky.social/feed/aaakfcavinjoy,at://did:plc:5fdjompokt6fc6zvd3u3xq6a/app.bsky.feed.generator/aaakfcavinjoy,bafyreids5ocdue3zkjd45awoto3lbvifaqx2rkqjxf5efj54jb7gdgr5oe,did:plc:5fdjompokt6fc6zvd3u3xq6a,ironboltbruce.bsky.social,24,XL
Blue Crew,https://bsky.app/profile/justsaynotonazis.bsky.social/feed/bluecrew,at://did:plc:kzh2ze4pntcg5jtcdoce6bjr/app.bsky.feed.generator/bluecrew,bafyreihbyveksaolkjuqfushn3i47eipqscpsh3jawb7ronwinuicil6dy,did:plc:kzh2ze4pntcg5jtcdoce6bjr,justsaynotonazis.bsky.social,22,PL
Progressive Politics,https://bsky.app/profile/fightingliberal.bsky.social/feed/aaacdgmjrskdm,at://did:plc:vaged6uocai4jrd2s5pd2ebo/app.bsky.feed.generator/aaacdgmjrskdm,bafyreigbosvra2nlnxk2uxi3gfoewp3xdb74ndgbd3vcy3h3kcyxeomewe,did:plc:vaged6uocai4jrd2s5pd2ebo,fightingliberal.bsky.social,20,PL
Democracy to Universe,https://bsky.app/profile/the-stand-against.bsky.social/feed/aaacnj6or7nx2,at://did:plc:tvxpsn2ctygb4p3hv5e346tb/app.bsky.feed.generator/aaacnj6or7nx2,bafyreiblg4vy7jyv43sur6ri4ej3olxj3n5n74mmyve4q2pbmnm73vdmsy,did:plc:tvxpsn2ctygb4p3hv5e346tb,the-stand-against.bsky.social,19,PL
Skeets by Leftist Mafia,https://bsky.app/profile/tigwyk.tv/feed/aaac4oogzfvwg,at://did:plc:tqlrqm7siq2ztpmvkyfqwzuy/app.bsky.feed.generator/aaac4oogzfvwg,bafyreihis2i23tpf64rcvfmuorwnrvcj6l3f2y22r5agn52f4ttbrv6h2u,did:plc:tqlrqm7siq2ztpmvkyfqwzuy,tigwyk.tv,13,PL
The leftist feed,https://bsky.app/profile/fayzaa.bsky.social/feed/leftist-feed,at://did:plc:cb2o2kpvms3xdheida7riw7z/app.bsky.feed.generator/leftist-feed,bafyreigyhne5fmtxiu2u4cihcxfoy5nhd4ixfgvxvhweb4jkxzxwho42sq,did:plc:cb2o2kpvms3xdheida7riw7z,fayzaa.bsky.social,13,PL
Proud Liberal Democrat,https://bsky.app/profile/track.goodfeeds.co/feed/2e275eb3ed72,at://did:plc:lyrmsmhhg7vzz4ghj44y5xzq/app.bsky.feed.generator/2e275eb3ed72,bafyreibhlmxrn7xcpwpxdmg5abys737j7r6womleztb2uhdwiuev7wowou,did:plc:lyrmsmhhg7vzz4ghj44y5xzq,track.goodfeeds.co,12,PL
Leftists/Progressives,https://bsky.app/profile/hereticerik.com/feed/aaage2kld4uoy,at://did:plc:2grv6vmf3tpawrbajndnzwho/app.bsky.feed.generator/aaage2kld4uoy,bafyreiedfpw7sxgt4usvbhxsgrnaqltavi5vc2mb355u5ijvjflz6sdxbe,did:plc:2grv6vmf3tpawrbajndnzwho,hereticerik.com,11,XL
Disinformation/Democracy,https://bsky.app/profile/thisuserisdumb.bsky.social/feed/aaadehwqkrx4k,at://did:plc:q2jci36trjickxap6t7lq72a/app.bsky.feed.generator/aaadehwqkrx4k,bafyreigh6tajhvm4dfhzw4ckmep2xpfuzpkg7fysnk2fjhuntnmdozbllq,did:plc:q2jci36trjickxap6t7lq72a,thisuserisdumb.bsky.social,9,PL
#TexasLeftist,https://bsky.app/profile/shinyoddish.bsky.social/feed/aaamgra4ok2pm,at://did:plc:lahx3ihxk4fixh6bxm5vcgzt/app.bsky.feed.generator/aaamgra4ok2pm,bafyreihxrgkr5di2k4shrwabuqceit5gcoigg2gqv55kogvpykbzm3mfpi,did:plc:lahx3ihxk4fixh6bxm5vcgzt,shinyoddish.bsky.social,7,PL
Biden / Dems,https://bsky.app/profile/uspol.skyfleet.blue/feed/aaabzp5k2gemu,at://did:plc:r73kjlwfdyge5x2laitip3pc/app.bsky.feed.generator/aaabzp5k2gemu,bafyreif2ham3m7yfyvorxzngwbltbqpvbdtwqgxpmkhfjeu27raori5oyy,did:plc:r73kjlwfdyge5x2laitip3pc,uspol.skyfleet.blue,7,PL
San Francisco Lefties,https://bsky.app/profile/skibu.bsky.social/feed/aaai4jrcne3au,at://did:plc:vjeuy3my3tkx36ees4p2oqgw/app.bsky.feed.generator/aaai4jrcne3au,bafyreifstecu3y4jbyz6d5e62vjwgjijwd64clfhn7s3ojmbuifaxgzsj4,did:plc:vjeuy3my3tkx36ees4p2oqgw,skibu.bsky.social,7,PL
The Democrats,https://bsky.app/profile/kellyscaletta.bsky.social/feed/aaamvjfwhxczs,at://did:plc:l32leysyum6sa6q2z77ha4da/app.bsky.feed.generator/aaamvjfwhxczs,bafyreicpjo4taus5lla2ub7tmb4574jb37uniqbi5h5pee5qkinpcg62ku,did:plc:l32leysyum6sa6q2z77ha4da,kellyscaletta.bsky.social,7,PL
U.S. Democratic Voices,https://bsky.app/profile/j4ng5y.dev/feed/aaab5fhn6w3wy,at://did:plc:ovkftrujosgboltqzth54s5p/app.bsky.feed.generator/aaab5fhn6w3wy,bafyreiehgmkiiruosccbopxem3yrehxglkpl53w66c22llhqqmcaol4b6y,did:plc:ovkftrujosgboltqzth54s5p,j4ng5y.dev,7,PL
Videos for Democracy,https://bsky.app/profile/mmccue.bsky.social/feed/videos-for-de,at://did:plc:6nkng5626orolzuyvuzocl4e/app.bsky.feed.generator/videos-for-de,bafyreihzd4dxy5ybwakngamc76cwpxwceqxoglriqvsvc4b3vhra65szqi,did:plc:6nkng5626orolzuyvuzocl4e,mmccue.bsky.social,7,PL
Dems on Climate,https://bsky.app/profile/davidsacerdote.bsky.social/feed/aaalifvvd3zuk,at://did:plc:o4s55v3tsfph6whswxccpsia/app.bsky.feed.generator/aaalifvvd3zuk,bafyreieknhjn5mlsbtsicfeasyxjnv75z5lnbgbx7lkddbg5btnsctmvxy,did:plc:o4s55v3tsfph6whswxccpsia,davidsacerdote.bsky.social,6,PL
Fighting For Democracy,https://bsky.app/profile/justinbuntingfornc.bsky.social/feed/aaahifs5xoarg,at://did:plc:i2pnuomvk7qggktdydymoudo/app.bsky.feed.generator/aaahifs5xoarg,bafyreigeiojwqapmc56sesxyb4p6aytbaveacjkdczgrlo63wvrm2upgzm,did:plc:i2pnuomvk7qggktdydymoudo,justinbuntingfornc.bsky.social,6,PL
Podcasts for Lefties,https://bsky.app/profile/jayfutw.bsky.social/feed/aaaiaylzlp6jm,at://did:plc:2vlgzpq5xlzbdpewtvc3bg3b/app.bsky.feed.generator/aaaiaylzlp6jm,bafyreiaqhpn5qsfzqy5mslfjp5vcwgsf2jwmaw4cmbxpeocfb3feuy7mkq,did:plc:2vlgzpq5xlzbdpewtvc3bg3b,jayfutw.bsky.social,6,PL
Democracy against AfD,https://bsky.app/profile/machpiyal.bsky.social/feed/aaaeesf6b67to,at://did:plc:5sycm5qxobvmijsshtqzfp25/app.bsky.feed.generator/aaaeesf6b67to,bafyreia6ufpahqwsvbpmiziixe6p4lxxj2h7hfp55eh24u3kvxozbg436m,did:plc:5sycm5qxobvmijsshtqzfp25,machpiyal.bsky.social,5,PL
House Democrats ex top 5,https://bsky.app/profile/muskisatotalpos.bsky.social/feed/aaamrhar7njfe,at://did:plc:vkgc7hteoa7hgwv2do74nvzv/app.bsky.feed.generator/aaamrhar7njfe,bafyreifzdahhkdhfbez5475c576nxaaumwwrgkwiqhgjrvtda73y4rcw2a,did:plc:vkgc7hteoa7hgwv2do74nvzv,muskisatotalpos.bsky.social,5,PL
New Liberals DT,https://bsky.app/profile/madamesosumi.bsky.social/feed/aaaiqdxobnelm,at://did:plc:gogxkwku2s2b5yyy62qnllyo/app.bsky.feed.generator/aaaiqdxobnelm,bafyreiaflyggzbh5y2mt6b4zotbylixn3ddxd5c4gxvwijvr2zs6hbnhmm,did:plc:gogxkwku2s2b5yyy62qnllyo,madamesosumi.bsky.social,5,PL
